Surface,Cut,Metal,Notes,Structure,Source,Site,NN,Source,Metal Mass,O cos(a),O sin(a),Josh DFT,Stephen DFT Experimental Lattice Constant,Norskov,v(M-O),v(M-O) Temp (K),v(M-O) Source,v(M-OH2),v(M-OH2) Temp (K),v(M-OH2) Source,v(M-OH),v(M-OH) Temp (K),v(M-OH) Source,OH bend - bent,OH bend - bent Temp (K),OH bend - bent Source,OH bend - straight,OH bend - straight Temp (K),OH bend - straight Source,v(OH) bent,v(OH) bent Temp (K),v(OH) bent Source,v(OH) straight,v(OH) straight Temp (K),v(OH) straight Source,v(M-O2),v(M-O2) Temp (K),v(M-O2) Source,v(O-O) atop/peroxo,v(O-O) atop/peroxo Temp (K), v(O-O) atop/peroxo Source,v(O-O) bridged,v(O-O) bridged Temp (K),v(O-O) bridged Source,v(O-O) superoxo,v(O-O) superoxo Temp (K),v(O-O) superoxo Source,v(M-N),v(M-N) Temp (K),v(M-N) Source,v(M-NH),v(M-NH) Temp (K),v(M-NH) Source,v(M-NH2),v(M-NH2) Temp (K),v(M-NH2) Source,v(M-NH3),v(M-NH3) Temp (K),v(M-NH3) Source,Dband Hammer 2000,v(M-H),parallel (M-H),v(M-H) 2,para (M-H) 2,v(M-H) Temp,Other,v(M-H) Source,N cos(a),N sin(a),H cos(a),H sin(a),ONN2/NN,ONN2cos,ONN2sin,HNN2/NN,HNN2cos,HNN2sin,Eads (M-O) v5.4,v(M-O) vasp v5.4,v(M-O) Morse v5.4,v(M-O) Correected v5.4,Eads (M-OH) v5.4,v(M-OH) vasp v5.4,v(M-OH) Morse v5.4,v(M-OH) Correected v5.4,(1/rO)^2,(1/rOH)^2,Eads O2
Fe(110),110.00,Fe,,BCC,85,H,4,92,55.85,0.59,0.81,-6.44,-6.29,,500,300,58,,,,,,,960,130,31,1190,130,31,,,,3620,130,31,,,,,,,,,,,,,500,120,78,,,,,,,360,,68,-0.92,,,,,,,,0.53779589,0.843075074,0.54,0.84,1.69,0.99,0.14,1.69,0.99,0.16,,,,,,,,,,,
Ir(111),111.00,Ir,,FCC,,H,3,,192.22,0.63,0.77,-4.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.80757,499.6522,498.5210885,513.7134379,-2.593243679,,,,,,
Mo(110),110.00,Mo,,BCC,86,H,4,92,95.94,,,,-7.87,,610,400,13,,,,,,,,,,,,,,,,,,,435,400,13,1000,400,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mo(112),112.00,Mo,,,,,,,,,,,-7.95,,670,100,16,,,,,,,,,,,,,,,,,,,460,100,16,970,100,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ni(100),1.00,Ni,,FCC,85,H,4,88,58.69,,,,,-4.93,435,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ni(110),110.00,Ni,600 specified as O-H bend,FCC,85,H,4,91,58.69,,,,-5.94,,480,300,6,,,,600,,28,850,,28,,,,3560,,28,3710,,29,,,,,,,,,,,,,,,,,,,504,344,71,350,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ni(111)*,111.00,Ni,p(2x2) oxygen and 1x1 H,,,,,,,,,,,,585,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,955,1170,955,80,,99,,,,,,,,,,,,,,,,,,,,,
Ni(111),111.00,Ni,,FCC,85,H,3,88,58.69,0.61,0.80,-5.42,-6.11,-4.70,524,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490,,72,620,285,72,,,,,,,-1.29,,,,,,,,0.566846128,0.823823687,0.54,0.84,1.90,0.91,0.40,1.93,0.90,0.43,-5.4527,499.059397,473.3968192,527.7656022,,,,,,,
Pd(100),100.00,Pd,370 specified as v(M-O) and 430 as v(M-OH),FCC,87,H,4,88,106.42,,,,-4.94,-3.50,470,175,32,,,,660,175,32,930,175,32,,,,,,,,,,370,175,32,,,,,,,,,,,,,,,,,,,,,,,,,,,105,500,101,,,,,,,,,,,,,,,,,,,,,
Pd(110),110.00,Pd,,FCC,87,H,4,88,106.42,,,,-4.99,,,,,500,,28,,,,775,,28,,,,,,,3670,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
