Surface,Substrate,Adsorbate,Substrate Mass,NN,mindistance,NN2,Adsorbate mass,cos(alpha),sin(alpha),Mr,Zfrequency,frequency_corrected,Energy,Surface_Energy,Eads
111,Cu,C,63.546,3,1.860188641,3,12.011,0.550422287,0.834886403,10.04658716,491.458016,537.3617238,-234.30652,-228.4102,-4.5009597
111,Ir,C,192.22,3,1.950548259,3,12.011,0.532793322,0.8462454,11.23494904,569.885751,589.2394676,-550.77665,-542.65627,-6.7250197
111,Ni,C,58.6934,3,1.775460559,3,12.011,0.562068588,0.827090625,9.962609068,581.144721,638.0979305,-332.41709,-324.5079,-6.5138297
111,Pd,C,106.42,3,1.864879775,3,12.011,0.392050071,0.91994388,9.849151342,417.539785,461.0924821,-327.31803,-319.10613,-6.8165397
111,Pt,C,195.08,3,1.899981815,3,12.011,0.351708684,0.936109503,10.51852772,421.680122,450.6041989,-391.45319,-383.1712,-6.8866297
111,Rh,C,102.9055,3,1.896950137,3,12.011,0.510308334,0.859991514,10.5322881,534.558987,570.8524294,-447.04996,-438.77157,-6.8830297
100,Ag,H,107.868,4,2.143533764,1,1.00794,0.298758315,0.954328806,0.989878769,498.603087,503.1312569,-168.27959,-165.15468,-1.9184019
100,Al,H,26.98154,2,1.794337201,2,1.00794,0.597900057,0.801570659,0.960091431,1074.658269,1101.111829,-224.57432,-221.15238,-2.2154319
100,Au,H,196.9665,2,1.772456804,2,1.00794,0.508189692,0.861245166,0.998545222,1039.230616,1044.107953,-209.8527,-206.45846,-2.1877319
100,Cr,H,51.996,4,1.807338301,1,1.00794,1,0,1.003093983,1153.662906,1156.446261,-550.43151,-546.50606,-2.7189419
100,Cu,H,63.546,4,1.889637287,1,1.00794,0.333344755,0.942805003,0.983026074,686.35363,694.9967225,-226.94652,-223.2886,-2.4514119
100,Ir,H,192.22,2,1.796177786,2,1.00794,0.644092314,0.76494777,1.0019092,1390.966005,1395.14605,-530.47423,-526.30636,-2.9613619
100,Mo,H,95.94,2,1.900247227,2,1.00794,0.691969093,0.721927125,0.997664911,1246.023466,1252.423514,-634.62576,-630.21417,-3.2050819
100,Ni,H,58.6934,4,1.859791369,1,1.00794,0.345402481,0.938454648,0.983209588,718.438313,727.4175454,-321.49871,-317.50829,-2.7839119
100,Pd,H,106.42,4,1.976847413,1,1.00794,0.168423251,0.98571477,0.986804198,491.476252,496.711693,-317.15631,-313.27311,-2.6766919
100,Pt,H,195.08,2,1.748721319,2,1.00794,0.584619453,0.811307645,1.000725703,1326.910074,1331.684376,-377.26742,-373.149,-2.9119119
100,Rh,H,102.9055,4,1.999035509,1,1.00794,0.309248714,0.950981195,0.992467652,718.603534,724.1833052,-431.87354,-427.9503,-2.7167319
100,V,H,50.9415,4,2.097461516,1,1.00794,0.470237402,0.882539963,0.990384421,742.265187,748.8149946,-531.15025,-526.72592,-3.2178219
100,W,H,183.85,2,1.896516877,2,1.00794,0.668252435,0.743934596,1.002203268,1291.999408,1295.691911,-753.27071,-748.07192,-3.9922819
110,Ag,H,107.868,2,2.085095292,2,1.00794,0.686945453,0.726708982,0.998061077,522.30006,524.8785879,-156.60721,-153.48222,-1.9184819
110,Al,H,26.98154,2,1.830599117,2,1.00794,0.556947485,0.83054771,0.955600317,995.852406,1022.761037,-216.84501,-213.62586,-2.0126419
110,Au,H,196.9665,2,1.791116007,2,1.00794,0.408720033,0.912659813,0.995313551,921.240926,927.0658959,-196.97455,-193.5769,-2.1911419
110,Cr,H,51.996,3,1.804555166,1,1.00794,0.622085436,0.782949366,0.991836803,1198.887712,1208.580936,-570.10412,-565.39807,-3.4995419
110,Cu,H,63.546,2,1.816330917,2,1.00794,0.129638001,0.991561389,0.989032352,646.986452,653.1414978,-213.09554,-209.59645,-2.2925819
110,Fe,H,55.847,3,1.791529334,1,1.00794,0.551696433,0.83404499,0.989192302,1089.338311,1099.612717,-494.52064,-490.29765,-3.0164819
