"Surface","Substrate","Adsorbate","Substrate Mass","NN","mindistance","NN2","NN2min","Adsorbate mass","cos(alpha)","sin(alpha)","NN2cosa","NN2sina","Mr","Energy","Surface_Energy","Egas","Eads","Edisp","SurfaceDisp","EminusDisp","Gvib100C","ZPE","vibEntropy","vibEnthalpy"
"100","Ag","OH","107.86799999999999","1","2.1034444816178457","1","4.6269991921935922","17.007339999999999","1.0","0.0","0.89435652741995486","0.44735489475506995","14.704950401078108","-174.72538","-165.26823999999999","-7.7312472","-1.7258928000000093","-35.37786","-35.19298","-1.5410128000000096","","","",""
"100","Al","OH","26.981539999999999","1","1.7042553162461263","1","4.3213309406522695","17.007339999999999","1.0","0.0","0.88658828469125728","0.46255941612750023","10.443685904191575","-232.5213","-221.30146999999999","-7.7312472","-3.4885828000000014","-10.85201","-10.67844","-3.3150127999999945","","","",""
"100","Au","OH","196.9665","1","2.0647757201612542","1","4.6689592877530526","17.007339999999999","1.0","0.0","0.89907678662038792","0.43779096811190327","15.662967824933958","-215.24712","-206.39518000000001","-7.7312472","-1.1206927999999845","-49.08803","-48.87494","-0.9076027999999834","","","",""
"100","Cr","OH","51.996000000000002","1","1.8086956279096214","1","3.8108457992886104","17.007339999999999","1.0","0.0","0.85473794041450757","0.51905977807567183","12.841434274335423","-558.18978000000004","-546.62088000000006","-7.7312472","-3.8376527999999848","-22.25937","-22.03959","-3.6178727999999953","","","",""
"100","Cu","OH","63.545999999999999","1","1.8422952017356504","1","4.078513145577138","17.007339999999999","1.0","0.0","0.89984418898015994","0.43621145739037887","13.435771251967719","-233.19372000000001","-223.24878000000001","-7.7312472","-2.2136928000000022","-32.12954","-31.89969","-1.9838428000000103","","","",""
"100","Ir","OH","192.22","1","1.9162330241875323","1","4.2888727694586581","17.007339999999999","1.0","0.0","0.89637349966639546","0.44329961549252273","15.632881011761388","-536.27266999999995","-526.44940999999994","-7.7312472","-2.0920128000000044","-42.82763","-42.59412","-1.858502800000002","","","",""
"100","Ni","OH","58.693399999999997","1","1.7910360748924992","1","4.0053832814249226","17.007339999999999","1.0","0.0","0.90143706294832615","0.43291017722282249","13.205373697686852","-327.57297","-317.56061","-7.7312472","-2.2811128000000007","-25.49597","-25.28869","-2.0738328","","","",""
"100","Pd","OH","106.42","1","1.9776518367991882","1","4.4167939603089321","17.007339999999999","1.0","0.0","0.89698071872436502","0.44206966672315512","14.676782599068032","-322.57171","-313.26058","-7.7312472","-1.5798827999999911","-37.26703","-37.05115","-1.364002800000014","","","",""
"100","Pt","OH","195.08000000000001","1","1.9468655677349851","1","4.4750461074274606","17.007339999999999","1.0","0.0","0.90061281451961639","0.43462231687185066","15.650334505871932","-382.25364000000002","-373.07008999999999","-7.7312472","-1.4523028000000249","-48.5398","-48.29137","-1.2038728000000116","","","",""
"100","Rh","OH","102.9055","1","1.923255573398615","1","4.2704242172003255","17.007339999999999","1.0","0.0","0.89736696054325049","0.4412850984628513","14.608889663644659","-438.04498999999998","-428.27068000000003","-7.7312472","-2.0430627999999569","-35.82657","-35.57768","-1.794172799999954","","","",""
"100","V","OH","50.941499999999998","1","1.7990213100570129","1","4.1712348040425216","17.007339999999999","1.0","0.0","0.86960600724502268","0.4937462831894226","12.765843819281294","-538.91633000000002","-526.72218999999996","-7.7312472","-4.4628928000000609","-28.53463","-28.44659","-4.374852800000069","","","",""
